Landskode,Stadnamn engelsk,Landsnamn engelsk,Lenke til engelsk-XML
AD,Escaldes-Engordany,Andorra,http://www.yr.no/place/Andorra/Escaldes-Engordany/Escaldes-Engordany/forecast.xml
AE,Sarūj,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Other/Sarūj/forecast.xml
AE,Ḩajar,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Other/Ḩajar/forecast.xml
AE,Al ‘Ayn al Ghumūr,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Other/Al_‘Ayn_al_Ghumūr/forecast.xml
AE,Al Arḑīyah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Other/Al_Arḑīyah/forecast.xml
AE,Būbādī,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Other/Būbādī/forecast.xml
AE,Dubai,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/Dubai/forecast.xml
AE,Abu Dhabi,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Abu_Dhabi/forecast.xml
AE,Sharjah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Sharjah/forecast.xml
AE,Al Ain,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Al_Ain/forecast.xml
AE,Ajman,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Ajman/forecast.xml
AE,Abu Dhabi,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Abu_Dhabi/forecast.xml
AE,Al Ain,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Al_Ain/forecast.xml
AE,Z̧uwayhir,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧uwayhir~290400/forecast.xml
AE,Z̧uwayhir,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧uwayhir~290401/forecast.xml
AE,Z̧afīr,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Abu_Dhabi/Z̧afīr/forecast.xml
AE,Ajman,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Ajman/forecast.xml
AE,Suhaylah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Suhaylah/forecast.xml
AE,Şufayrī,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Şufayrī/forecast.xml
AE,Sinādil,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Sinādil/forecast.xml
AE,Sharīyah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ajman/Sharīyah/forecast.xml
AE,Dubai,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/Dubai/forecast.xml
AE,Warīsān,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/Warīsān/forecast.xml
AE,‘Urqūb Juwayza,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/‘Urqūb_Juwayza/forecast.xml
AE,Umm Suqaym,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/Umm_Suqaym/forecast.xml
AE,‘Ūd al Bayḑā’,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Dubai/‘Ūd_al_Bayḑā’/forecast.xml
AE,Fujairah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Fujairah/forecast.xml
AE,Zubārah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Zubārah/forecast.xml
AE,Zikt,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Zikt/forecast.xml
AE,Z̧anḩah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Z̧anḩah/forecast.xml
AE,Wāsiţ,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Fujairah/Wāsiţ/forecast.xml
AE,Ra’s al Khaymah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/Ra’s_al_Khaymah/forecast.xml
AE,Yinas,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/Yinas/forecast.xml
AE,Wad Wid,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/Wad_Wid/forecast.xml
AE,‘Uraybī,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/‘Uraybī/forecast.xml
AE,Suḩaybah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Ras_al-Khaimah/Suḩaybah/forecast.xml
AE,Sharjah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Sharjah/forecast.xml
AE,Khawr Fakkān,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Khawr_Fakkān/forecast.xml
AE,Wādī Shī,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Wādī_Shī/forecast.xml
AE,Ţarīf Kalbā,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Ţarīf_Kalbā/forecast.xml
AE,Shīs,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Shīs/forecast.xml
AE,Umm al Qaywayn,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Umm_al-Qaiwain/Umm_al_Qaywayn/forecast.xml
AE,Lazīmah,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Umm_al-Qaiwain/Lazīmah/forecast.xml
AE,Falaj al Mu‘allā,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Umm_al-Qaiwain/Falaj_al_Mu‘allā/forecast.xml
AE,‘Uwaynāt,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Umm_al-Qaiwain/‘Uwaynāt/forecast.xml
AE,Adh Dhayd,United Arab Emirates,http://www.yr.no/place/United_Arab_Emirates/Sharjah/Adh_Dhayd/forecast.xml
AF,Tay Mazār,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Tay_Mazār/forecast.xml
AF,Shāh Tamūr,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Shāh_Tamūr/forecast.xml
AF,Shāhī Khēl,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Shāhī_Khēl/forecast.xml
AF,Sar-e Jark,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Sar-e_Jark/forecast.xml
AF,Qōl-e Mīrak,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Qōl-e_Mīrak~1128852/forecast.xml
AF,Kabul,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Kabul/forecast.xml
AF,Kandahar,Afghanistan,http://www.yr.no/place/Afghanistan/Kandahar/Kandahar/forecast.xml
AF,Mazari Sharif,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Mazari_Sharif/forecast.xml
AF,Herat,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Herat/forecast.xml
AF,Jalalabad,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Jalalabad/forecast.xml
AF,Fayzabad,Afghanistan,http://www.yr.no/place/Afghanistan/Badakhshan/Fayzabad/forecast.xml
AF,Ashkāsham,Afghanistan,http://www.yr.no/place/Afghanistan/Badakhshan/Ashkāsham/forecast.xml
AF,Jarm,Afghanistan,http://www.yr.no/place/Afghanistan/Badakhshan/Jarm/forecast.xml
AF,Khandūd,Afghanistan,http://www.yr.no/place/Afghanistan/Badakhshan/Khandūd~1137148/forecast.xml
AF,Bozai Gumbaz,Afghanistan,http://www.yr.no/place/Afghanistan/Badakhshan/Bozai_Gumbaz/forecast.xml
AF,Zīārat-e Majnōn Bayd,Afghanistan,http://www.yr.no/place/Afghanistan/Badghis/Zīārat-e_Majnōn_Bayd/forecast.xml
AF,Zighand Jow,Afghanistan,http://www.yr.no/place/Afghanistan/Badghis/Zighand_Jow/forecast.xml
AF,Zayshī,Afghanistan,http://www.yr.no/place/Afghanistan/Badghis/Zayshī/forecast.xml
AF,Zaysalekh,Afghanistan,http://www.yr.no/place/Afghanistan/Badghis/Zaysalekh/forecast.xml
AF,Zay Murād,Afghanistan,http://www.yr.no/place/Afghanistan/Badghis/Zay_Murād/forecast.xml
AF,Baghlan,Afghanistan,http://www.yr.no/place/Afghanistan/Baghlan/Baghlan~1147540/forecast.xml
AF,Pul-e Khumrī,Afghanistan,http://www.yr.no/place/Afghanistan/Baghlan/Pul-e_Khumrī/forecast.xml
AF,Nahrīn,Afghanistan,http://www.yr.no/place/Afghanistan/Baghlan/Nahrīn~1132495/forecast.xml
AF,Ḩukūmatī Dahānah-ye Ghōrī,Afghanistan,http://www.yr.no/place/Afghanistan/Baghlan/Ḩukūmatī_Dahānah-ye_Ghōrī/forecast.xml
AF,Z̄ūlfaqār,Afghanistan,http://www.yr.no/place/Afghanistan/Baghlan/Z̄ūlfaqār/forecast.xml
AF,Panjāb,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Panjāb~1131162/forecast.xml
AF,Kōtkaī,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Kōtkaī/forecast.xml
AF,Zūlij,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Zūlij/forecast.xml
AF,Zīr Qal‘ah,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Zīr_Qal‘ah/forecast.xml
AF,Ziarat,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Ziarat/forecast.xml
AF,Bāmyān,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Bāmyān/forecast.xml
AF,Bāmyān,Afghanistan,http://www.yr.no/place/Afghanistan/Bamiyan/Bāmyān/forecast.xml
AF,Farāh,Afghanistan,http://www.yr.no/place/Afghanistan/Farah/Farāh/forecast.xml
AF,Anār Darah,Afghanistan,http://www.yr.no/place/Afghanistan/Farah/Anār_Darah~1148709/forecast.xml
AF,Kshatah Kalā,Afghanistan,http://www.yr.no/place/Afghanistan/Farah/Kshatah_Kalā/forecast.xml
AF,Gulōgah,Afghanistan,http://www.yr.no/place/Afghanistan/Farah/Gulōgah/forecast.xml
AF,Zīrah,Afghanistan,http://www.yr.no/place/Afghanistan/Farah/Zīrah/forecast.xml
AF,Andkhōy,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Andkhōy~1148658/forecast.xml
AF,Lāsh,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Lāsh~1120484/forecast.xml
AF,Khvosh Bāy,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Khvosh_Bāy~1120485/forecast.xml
AF,Zō-ye Rujī,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Zō-ye_Rujī/forecast.xml
AF,Z̧ulmahābād,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Z̧ulmahābād/forecast.xml
AF,Maymana,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Maymana/forecast.xml
AF,Maymana,Afghanistan,http://www.yr.no/place/Afghanistan/Faryab/Maymana/forecast.xml
AF,Jang `Alī,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Jang_`Alī/forecast.xml
AF,Shalgar,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Shalgar/forecast.xml
AF,Ziwadz,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Ziwadz/forecast.xml
AF,Zīārat,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Zīārat~1120647/forecast.xml
AF,Zelzelah,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Zelzelah/forecast.xml
AF,Ghazni,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Ghazni/forecast.xml
AF,Ghazni,Afghanistan,http://www.yr.no/place/Afghanistan/Ghazni/Ghazni/forecast.xml
AF,Shahrak,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Shahrak~1125896/forecast.xml
AF,Kūshk,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Kūshk/forecast.xml
AF,Zuzi,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Zuzi/forecast.xml
AF,Zūrnī,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Zūrnī/forecast.xml
AF,Zūl Girdāb,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Zūl_Girdāb/forecast.xml
AF,Chaghcharān,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Chaghcharān/forecast.xml
AF,Chaghcharān,Afghanistan,http://www.yr.no/place/Afghanistan/Ghowr/Chaghcharān/forecast.xml
AF,Lashkar Gah,Afghanistan,http://www.yr.no/place/Afghanistan/Helmand/Lashkar_Gah/forecast.xml
AF,Gereshk,Afghanistan,http://www.yr.no/place/Afghanistan/Helmand/Gereshk/forecast.xml
AF,Sangīn,Afghanistan,http://www.yr.no/place/Afghanistan/Helmand/Sangīn~1127547/forecast.xml
AF,‘Alāqahdārī Deh-e Shū,Afghanistan,http://www.yr.no/place/Afghanistan/Helmand/‘Alāqahdārī_Deh-e_Shū/forecast.xml
AF,Markaz-e Ḩukūmat-e Darwēshān,Afghanistan,http://www.yr.no/place/Afghanistan/Helmand/Markaz-e_Ḩukūmat-e_Darwēshān/forecast.xml
AF,Herat,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Herat/forecast.xml
AF,Shīnḏanḏ,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Shīnḏanḏ~1125155/forecast.xml
AF,Kafir Qala,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Kafir_Qala/forecast.xml
AF,Karukh,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Karukh~1137807/forecast.xml
AF,Kushk,Afghanistan,http://www.yr.no/place/Afghanistan/Herat/Kushk~1135158/forecast.xml
AF,Kabul,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Kabul/forecast.xml
AF,Paghmān,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Paghmān~1131316/forecast.xml
AF,Mīr Bachah Kōṯ,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Mīr_Bachah_Kōṯ~1133270/forecast.xml
AF,Zirō Tangah,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Zirō_Tangah/forecast.xml
AF,Z̄imah,Afghanistan,http://www.yr.no/place/Afghanistan/Kabul/Z̄imah/forecast.xml
AF,Tagāb,Afghanistan,http://www.yr.no/place/Afghanistan/Kapisa/Tagāb~1123424/forecast.xml
AF,Z̧ulm Khēl,Afghanistan,http://www.yr.no/place/Afghanistan/Kapisa/Z̧ulm_Khēl/forecast.xml
AF,Wīshār,Afghanistan,http://www.yr.no/place/Afghanistan/Kapisa/Wīshār/forecast.xml
AF,Wāyār,Afghanistan,http://www.yr.no/place/Afghanistan/Kapisa/Wāyār/forecast.xml
AF,Warnah Gunḏah,Afghanistan,http://www.yr.no/place/Afghanistan/Kapisa/Warnah_Gunḏah/forecast.xml
AF,Barakī Barak,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Barakī_Barak~1147066/forecast.xml
AF,Pul-e ‘Alam,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Pul-e_‘Alam/forecast.xml
AF,Zinak,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Zinak~1120602/forecast.xml
AF,Zāhidābād,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Zāhidābād/forecast.xml
AF,Zar Sang,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Zar_Sang/forecast.xml
AF,Jalalabad,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Jalalabad/forecast.xml
AF,Markaz-e Woluswalī-ye Āchīn,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Markaz-e_Woluswalī-ye_Āchīn/forecast.xml
AF,Bāsawul,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Bāsawul/forecast.xml
AF,Bati,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Bati/forecast.xml
AF,Zor-Bazar,Afghanistan,http://www.yr.no/place/Afghanistan/Nangarhar/Zor-Bazar/forecast.xml
AF,Khāsh,Afghanistan,http://www.yr.no/place/Afghanistan/Nimruz/Khāsh/forecast.xml
AF,Mīrābād,Afghanistan,http://www.yr.no/place/Afghanistan/Nimruz/Mīrābād/forecast.xml
AF,Rūdbār,Afghanistan,http://www.yr.no/place/Afghanistan/Nimruz/Rūdbār/forecast.xml
AF,Zīārat-e Amīrān Şāḩeb,Afghanistan,http://www.yr.no/place/Afghanistan/Nimruz/Zīārat-e_Amīrān_Şāḩeb/forecast.xml
AF,Zaranj,Afghanistan,http://www.yr.no/place/Afghanistan/Nimruz/Zaranj/forecast.xml
AF,Kandahar,Afghanistan,http://www.yr.no/place/Afghanistan/Kandahar/Kandahar/forecast.xml
AF,Kōykak,Afghanistan,http://www.yr.no/place/Afghanistan/Kandahar/Kōykak/forecast.xml
AF,Bāzār-e Panjwā’ī,Afghanistan,http://www.yr.no/place/Afghanistan/Kandahar/Bāzār-e_Panjwā’ī/forecast.xml
AF,Zōr Kārēz,Afghanistan,http://www.yr.no/place/Afghanistan/Kandahar/Zōr_Kārēz/forecast.xml
AF,Kunduz,Afghanistan,http://www.yr.no/place/Afghanistan/Kunduz/Kunduz/forecast.xml
AF,Khanabad,Afghanistan,http://www.yr.no/place/Afghanistan/Kunduz/Khanabad/forecast.xml
AF,Qarāwul,Afghanistan,http://www.yr.no/place/Afghanistan/Kunduz/Qarāwul/forecast.xml
AF,Imām Şāḩib,Afghanistan,http://www.yr.no/place/Afghanistan/Kunduz/Imām_Şāḩib~1142545/forecast.xml
AF,Dasht-e Archī,Afghanistan,http://www.yr.no/place/Afghanistan/Kunduz/Dasht-e_Archī~1143838/forecast.xml
AF,Taloqan,Afghanistan,http://www.yr.no/place/Afghanistan/Takhar/Taloqan/forecast.xml
AF,Rustāq,Afghanistan,http://www.yr.no/place/Afghanistan/Takhar/Rustāq~1128265/forecast.xml
AF,Ārt Khwājah,Afghanistan,http://www.yr.no/place/Afghanistan/Takhar/Ārt_Khwājah~1148106/forecast.xml
AF,Farkhār,Afghanistan,http://www.yr.no/place/Afghanistan/Takhar/Farkhār~1142239/forecast.xml
AF,Yangī Qal‘ah,Afghanistan,http://www.yr.no/place/Afghanistan/Takhar/Yangī_Qal‘ah~1121271/forecast.xml
AF,Woluswālī Behsūd,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Woluswālī_Behsūd/forecast.xml
AF,Kōṯah-ye ‘As̲h̲rō,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Kōṯah-ye_‘As̲h̲rō/forecast.xml
AF,Z̄ūlfaqār Khēl,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Z̄ūlfaqār_Khēl/forecast.xml
AF,Zīāratak,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Zīāratak/forecast.xml
AF,Maīdān Shahr,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Maīdān_Shahr/forecast.xml
AF,Maīdān Shahr,Afghanistan,http://www.yr.no/place/Afghanistan/Vardak/Maīdān_Shahr/forecast.xml
AF,Qalāt,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Qalāt/forecast.xml
AF,Kārēz,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Kārēz~1120472/forecast.xml
AF,Ks̲h̲êtah Kêlay,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Ks̲h̲êtah_Kêlay/forecast.xml
AF,Gumbad,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Gumbad/forecast.xml
AF,Zēṟ Sang Kêlay,Afghanistan,http://www.yr.no/place/Afghanistan/Zabol/Zēṟ_Sang_Kêlay/forecast.xml
AF,Zarghūn Shahr,Afghanistan,http://www.yr.no/place/Afghanistan/Paktika/Zarghūn_Shahr~1120863/forecast.xml
AF,Zaṟah Sharan,Afghanistan,http://www.yr.no/place/Afghanistan/Paktika/Zaṟah_Sharan/forecast.xml
AF,Kōṯwāl,Afghanistan,http://www.yr.no/place/Afghanistan/Paktika/Kōṯwāl/forecast.xml
AF,Zūtnī Khēl,Afghanistan,http://www.yr.no/place/Afghanistan/Paktia/Zūtnī_Khēl/forecast.xml
AF,Zōṟ Khalatah,Afghanistan,http://www.yr.no/place/Afghanistan/Paktika/Zōṟ_Khalatah/forecast.xml
AF,Mazari Sharif,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Mazari_Sharif/forecast.xml
AF,Balkh,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Balkh/forecast.xml
AF,Khulm,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Khulm~1136575/forecast.xml
AF,Qarchī Gak,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Qarchī_Gak/forecast.xml
AF,Zuzan,Afghanistan,http://www.yr.no/place/Afghanistan/Balkh/Zuzan~1120537/forecast.xml
AF,Shibirghān,Afghanistan,http://www.yr.no/place/Afghanistan/Jowzjan/Shibirghān/forecast.xml
AF,Qarqīn,Afghanistan,http://www.yr.no/place/Afghanistan/Jowzjan/Qarqīn~1129516/forecast.xml
AF,Larkird,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Larkird/forecast.xml
AF,Zow,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Zow/forecast.xml
AF,Z̄aghdalah,Afghanistan,http://www.yr.no/place/Afghanistan/Jowzjan/Z̄aghdalah/forecast.xml
AF,Aībak,Afghanistan,http://www.yr.no/place/Afghanistan/Samangan/Aībak/forecast.xml
AF,Zīrakī,Afghanistan,http://www.yr.no/place/Afghanistan/Samangan/Zīrakī/forecast.xml
AF,Zayrakī,Afghanistan,http://www.yr.no/place/Afghanistan/Samangan/Zayrakī/forecast.xml
AF,Zaydurī,Afghanistan,http://www.yr.no/place/Afghanistan/Samangan/Zaydurī/forecast.xml
AF,Zowārā,Afghanistan,http://www.yr.no/place/Afghanistan/Samangan/Zowārā~1120781/forecast.xml
AF,Sar-e Pul,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Sar-e_Pul/forecast.xml
AF,Sang-e Chārak,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Sang-e_Chārak/forecast.xml
AF,Chīras,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Chīras/forecast.xml
AF,Tukzār,Afghanistan,http://www.yr.no/place/Afghanistan/Sar-e_Pol/Tukzār/forecast.xml
AF,Darz Āb,Afghanistan,http://www.yr.no/place/Afghanistan/Jowzjan/Darz_Āb/forecast.xml
AF,Āsmār,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Āsmār/forecast.xml
AF,Zermandi,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Zermandi/forecast.xml
AF,Zawaṟḏiwuz,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Zawaṟḏiwuz/forecast.xml
AF,Zōṟ Barawul,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Zōṟ_Barawul/forecast.xml
AF,Wurghālay,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Wurghālay/forecast.xml
AF,Asadābād,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Asadābād/forecast.xml
AF,Asadābād,Afghanistan,http://www.yr.no/place/Afghanistan/Konar/Asadābād/forecast.xml
AF,Mehtar Lām,Afghanistan,http://www.yr.no/place/Afghanistan/Laghman/Mehtar_Lām/forecast.xml
AF,Zirani,Afghanistan,http://www.yr.no/place/Afghanistan/Laghman/Zirani/forecast.xml
AF,Zīārat Kêlay,Afghanistan,http://www.yr.no/place/Afghanistan/Laghman/Zīārat_Kêlay/forecast.xml
AF,Zvane,Afghanistan,http://www.yr.no/place/Afghanistan/Laghman/Zvane/forecast.xml
AF,Zargar Mālah,Afghanistan,http://www.yr.no/place/Afghanistan/Laghman/Zargar_Mālah/forecast.xml
AF,Gardez,Afghanistan,http://www.yr.no/place/Afghanistan/Paktia/Gardez/forecast.xml
AF,Ḩukūmatī Azrow,Afghanistan,http://www.yr.no/place/Afghanistan/Lowgar/Ḩukūmatī_Azrow/forecast.xml
AF,Zurmat,Afghanistan,http://www.yr.no/place/Afghanistan/Paktia/Zurmat~1120543/forecast.xml
AF,Zundī Khēl,Afghanistan,http://www.yr.no/place/Afghanistan/Paktia/Zundī_Khēl/forecast.xml
AF,Ziṟah,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Ziṟah/forecast.xml
AF,Khōst,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Khōst/forecast.xml
AF,Zorkot,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Zorkot/forecast.xml
AF,Kōṯay,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Kōṯay/forecast.xml
AF,Zer Pao,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Zer_Pao/forecast.xml
AF,Zhandar Gaṟay,Afghanistan,http://www.yr.no/place/Afghanistan/Khost/Zhandar_Gaṟay/forecast.xml
AF,Wetsīr,Afghanistan,http://www.yr.no/place/Afghanistan/Nurestan/Wetsīr/forecast.xml
AF,Wāygalak,Afghanistan,http://www.yr.no/place/Afghanistan/Nurestan/Wāygalak/forecast.xml
AF,Wāygal,Afghanistan,http://www.yr.no/place/Afghanistan/Nurestan/Wāygal~1121652/forecast.xml
